N.B	EH N B
LONG-SUBMERGED	L AO NG S AH B M ER JH D
THREADNEEDLE	TH R EH D N IY D AH L
CYRANOS	S IH R AH N AH Z
JOH-H-H-H-H-H-H-H-HN	JH OW EY CH EY CH EY CH EY CH EY CH EY CH EY CH EY CH N
YAW-W-W-W-W-W-W-W-WN	Y AO D AH B AH L Y UW D AH B AH L Y UW D AH B AH L Y UW D AH B AH L Y UW D AH B AH L Y UW D AH B AH L Y UW D AH B AH L Y UW D AH B AH L Y UW N
JUA-A-A-A-A-A-A-A-A-A-AN	JH UW AH EY EY EY EY EY EY EY EY EY AE N
ZZZZZ	Z IY Z IY Z IY Z IY Z
CHARGELESS	CH AA R JH L AH S
CHINCHERINCHEE	CH IH NG K AH R AH N CH IY IY
KATHRYN'S	K AE TH R IH N Z
DROMOPHOBIA	D R AA M AH F OW B IY AH
ANIMALIA	AE N AH M EY L Y AH
STICK-UP	S T IH K AH P
BOMB-PROOF	B AA M P R UW F
WAAAAAAAAAAAAAAAAAAAGH	W AH AH AH AH AA AH AH AA AH AH
G.I	JH IY AY
DVA	D V AA
RUG'S	R AH G Z
PTH	P IY T IY
ADING	AE D IH NG
SIMPL	S IH M P L
SNID	S N IH D
WH	D AH B AH L Y UW
MIGRATION'S	M AY G R EY SH AH N Z
ACHROMATOLYSIS	AE K R AH M AH T AA L AH S AH S
CLADRASTIS	K L AE D R AE S T AH S
YELLOWWOODS	Y EH L OW W UH D Z
PLOWWRIGHT	P L AW R AY T
GLOWWORMS	G L OW W ER M Z
DEWWORMS	D UW W ER M Z
SLOWWORMS	S L OW W ER M Z
SCREWWORMS	S K R UW W ER M Z
STRAWWORMS	S T R AO W ER M Z
PRE-WWII	P R IY W IY
SCROOCH	S K R UW CH
ONE-FOR-ONE	W AH N F AO R W AH N
QUIVERY	K W IH V ER IY
DIFFEOMORPHISM	D IH F IY AH M AH R F IH Z AH M
HOMEOMORPHISM	HH OW M IY AH M AH R F IH Z AH M
DANDY-HORSE	D AE N D IY HH AO R S
FECUNDUS	F AH K AH N D AH S
CORRECTIONER'S	K AH R EH K SH AH N ER Z
CATTLESHIP	K AE T AH L SH IH P
BOACHER	B OW CH AH R
CONTRAPOSITION	K AA N T R AH P AH Z IH SH AH N
SCROTI	S K R AA T IY
ALFRABET	AE L F R AH B AH T
A-B-C	EY B IY S IY
D-E-F	D IY IY EH F
MENNO	M EH N OW
Q-R-S	K Y UW AA R EH S
H-I-J	EY CH AY JH EY
H-I-K	EY CH AY K EY
U-V-DRONKELEWE-X-Y	Y UW V IY D R AO NG K AH L UW EH K S W AY
DERADELPHUS	D AH R AH D EH L F AH S
DOOMSMAN	D UW M Z M AE N
STEE-RIKE	S T IY R AY K
DORSOCEPHALAD	D AO R S AH S EH F AH L AH D
A.1	EY W AH N
UNSCREWED	AH N S K R UW D
DEFINITIONLESS	D EH F AH N IH SH AH N L AH S
DISOBEDIENCY	D IH S OW B IY D IY AH N S IY
DISOBLIGE	D IH S AH B L AY JH
DREX	D R EH K S
DISPITEOUS	D IH S P IH T IY AH S
AMBISYLLABICITY'S	AE M B AH S IH L AH B IH S AH T AH Z
WET-ER	W EH T ER
WEH-TER	W IY T ER
DSNA	D S N AA
ALKARSIN	AE L K AA R S AH N
TEAMAKER	T IY M EY K ER
EHARMONY	AH HH AA R M AH N IY
CIG-A-RETTE	S IH G EY R IH T IY
C/C	S IY K
SKYDIVER'S	S K AY D AY V ER Z
UNSURVIVABLE	AH N S ER V IH V AH B AH L
POSSESSIONAL	P AH Z EH SH AH N AH L
DOF	D AA F
DWB	D IY D AH B AH L Y UW B
DIMINUENT	D AH M IH N Y UW AH N T
AGMI	AE G M IY
C&AMP;T	K AE M P T
DOPESTER	D OW P S T ER
DOPEHEAD	D OW P HH EH D
EAR-NOSE-AND-THROAT	IY R N OW Z AH N D TH R OW T
MALADY-FREE	M AE L AH D IY F R IY
4F	F OW R EH F
EIGHTSCORE	EY T S K OW R
HICKIES	HH IH K IY Z
CHICKEN-FRIED	CH IH K AH N F R AY D
CHEMOPHOBIA	K EH M AH F OW B IY AH
COUNSELING'S	K AW N S AH L IH NG Z
WHOA-A-A-A-A-A	W OW EY EY EY EY EY
NOOOOOOOO	N UW UW UW UW
D'OHHHHHHH	D AA HH
SELF-CENTEREDNESS	S EH L F S EH N T ER AH D N AH S
EGOMANIA	IY G OW M EY N IY AH
BTH	B IY T IY
DRTTTT	D IY AA R T IY T IY T IY T
CHOCKFULL	CH AA K F UH L
B&AMP;T	B AE M P T
19'S	W AH N AY N L EH T AH R EH S
COPD	K AA P D
ATS	AE T S
CORNDOGS	K AO R N D AO G Z
AS-SURE-AS-YOU'RE-BORNDOGS	AE Z SH UH R AE Z Y UH R B AO R N D AO G Z
DWINING	D W AY N AH NG
EARPICK'S	IH ER P IH K S
NOSEPICK'S	N OW Z P IH K S
EARABLE	IH ER AH B AH L
HEARABLE	HH IH ER AH B AH L
TILLABLE	T IH L AH B AH L
LEARABLE	L IY R AH B AH L
FAYLIA	F EY L Y AH
NOT-TOO-UGLY	N AA T T UW AH G L IY
CTD	S IY T IY D
KEE-HO-TEE	K IY HH OW T IY
KEE-HO-TAY	K IY HH OW T EY
DROVEN	D R OW V AH N
APD	AE P D
DXM	D IY EH K S M
LEFT-HANDER'S	L EH F T HH AE N D ER Z
BFF	B IY EH F
CRANIAL-RECTAL	K R EY N IY AH L R EH K T AH L
EFTSOONS	EH F T S UW N Z
EIGHTEEN-WHEELERS	EY T IY N W IY L ER Z
TRAINLOAD	T R EY N L OW D
B-I-T	B IY AY T IY
KITCHEN-Y	K IH CH AH N W AY
COLLUCTANCY'S	K AA L AH K T AE N S AH Z
SATCH	S AE CH
LATIFAH	L AE T AH F AH
ECU	EH K UW
SLIDER'S	S L AY D ER Z
FASTBALL'S	F AE S T B AO L Z
CHERUBLY	CH AH R AH B L IY
ECCENTRIC'S	EH K S EH N T R IH K S
ECCENTRICAL	IH K S EH N T R IH K AH L
ECOPHOBIC	EH K AH F AH B AH K
MORTICIA	M AO R T IH SH IY AH
GONGING	G AO NG AH NG
CHICKABIDDY	CH IH K AH B IH D IY
DULOTIC	D Y UW L AH T AH K
10-HIGH	W AH N Z IY R OW HH AY
ALCOHOL-POWERED	AE L K AH HH AA L P AW ER D
EARTHLIKE	ER TH L AY K
DISRESPECTFULNESS	D IH S R IH S P EH K T F AH L N AH S
DEROGANT	D AH R OW G AH N T
DIFFICILITATES	D IH F AH S IH L AH T EY T S
BONE-HEADED	B OW N HH EH D AH D
GREAT-GRANDSON	G R EY T G R AE N D S AH N
DEJERATE	D IH JH AH R EY T
DIABOLIFY	D AY AH B AA L AH F AY
CHUCKY	CH AH K IY
DEFLAGRABLE	D IY F L EY G R AH B AH L
DEVO	D AH V OW
DE-EVOLUTION	D IY EH V AH L UW SH AH N
DISMISSION	D IH S M IH SH AH N
CAPPIN	K AE P IH N
BAAA	B AA AH
ELUXATION	EH L AH K S EY SH AH N
LUXATION	L AH K S EY SH AH N
TWOSOME'S	T UW S AH M Z
FOURSOME'S	F AO R S AH M Z
EIGHTSOME	EY T S AH M
EARTHBOARD	ER TH B OW R D
EAGLESS	IY G AH L AH S
ANTHOPHAGOUS	AE N TH AH F EY JH AH S
PM'ED	M EH D
DIKU	D IH K UW
WAISTBAND'S	W EY S T B AE N D Z
FASCISM'S	F AE SH IH Z AH M Z
SCULPTRESS	S K AH L P T R AH S
S,L	EH S L
NQ	EH N K
SP	EH S P
S,UOQ	S Y UW AH K
ASCENDER	AH S EH N D ER
ELUCIDATION'S	IH L UW S AH D EY SH AH N Z
FLY-TRAP	F L AY T R AE P
BIOPHAGOUS	B AY AH F EY JH AH S
SNERD	S N AH R D
DRIPPLE	D R IH P AH L
LEXICOGRAPHIC	L EH K S AH K AA G R AH F AH K
CO-WORKER'S	K OW W ER K ER Z
FLONKER	F L AO NG K AH R
GIRTER	JH AH R T AH R
WANTONS	W AO N T AH N Z
MARTHER	M AA R TH ER
SWADGED	S W AA JH D
DRIVELLER	D R AH V EH L AH R
COACERVATE	K OW AE S AH R V EY T
EARTHBRED	ER TH B R EH D
WAAAAAAAAAAH	W AA AH AA AH AH
REBRY	R EH B R IY
AMUSEDLY	AH M Y UW Z AH D L IY
DISCALCEATE	D IH S AE L S IY EY T
DELIGHTSOMENESS	D IH L AY T S AH M N AH S
INTERGALACTIC	IH N T ER G AH L AE K T IH K
CORVEAU	K AA R V IY UW
BOARD-PRYING	B AO R D P R AY IH NG
BABY-WALKERS	B EY B IY W AO K ER Z
BABYPROOF	B EY B IY P R UW F
C_____	S IY
P______	P IY
V_____	V IY
ONE-NOTHING	W AH N N AH TH IH NG
UNMARTINI-LIKE	AH N M AA R T IY N IY L AY K
DATE-RAPE	D EY T R EY P
TWO-ROOM	T UW R UW M
BREEDER'S	B R IY D ER Z
DORETREE	D UW R IY T R IY
DFO	D F OW
ONCE-BEAUTIFUL	W AH N S B Y UW T AH F AH L
ORPHAN'S	AO R F AH N Z
DYSTOCIA'S	D IH S T OW S IY AH Z
ERN	AH R N
FIELDING'S	F IY L D IH NG Z
ENCEINTE	IH N S IY N T
EFFERVESCENCE	EH F AH R V EH S AH N S
FIZZES	F IH Z AH Z
VULGARIAN	V AH L G EH R IY AH N
BATRACHOPHAGOUS	B AE T R AE CH AH F EY JH AH S
ENATE	EH N EY T
NYMPHETS	N IH M F AH T S
20-WATT	T UW Z IY R OW W AA T
BIGMOUTHED	B IH G M AW TH T
EX-SPY	EH K S S P AY
CARROTMOB	K AE R AH T M AA B
DISCONSOLACY'S	D IH S K AH N S OW L AH S IY Z
EMBROTHELED	IH M B R AA TH AH L D
WAXY-SKINNED	W AE K S IY S K IH N D
CONDEMNIN	K AH N D EH M IH N
ANTI-'TIL	AE N T IY T IH L
NAUTICALLY	N AO T IH K AH L IY
EIGHT-SPOT	EY T S P AA T
ROUGH-SURFACED	R AH F S ER F IH S T
NOCHES	N AA CH AH Z
BUENAS	B Y UW AH N AH Z
DEALBATION	D IY L B IY EY SH AH N
CREAM-WHITE	K R IY M W AY T
SUN-RICH	S AH N R IH CH
UNDERPRIVILEGED	AH N D ER P R IH V L IH JH D
SELF-EMPLOYEE	S EH L F EH M P L OY IY
COPPLESTONE	K AA P L EH S T OW N
APIPHOBIC	AH P IH P HH AA B IH K
DEPREDABLE	D IH P R IY D AH B AH L
SEIZABLE	S IY Z AH B AH L
DISYOKED	D IH S Y OW K T
WELLDIGGER'S	W EH L D IH G ER Z
CHURCHSHIP	CH ER CH SH IH P
SAWBONES	S AO B OW N Z
MERGIN	M AH R JH AH N
CYTOPHAGOUS	S IH T AH F EY JH AH S
*SNIFF*	S N IH F
EMOTIONALIST	IH M OW SH AH N AH L IH S T
ESTEEMING	IH S T IY M IH NG
19TH	W AH N AY N T IY EY CH
CASE-BY-CASE	K EY S B AY K EY S
DISGESTION'S	D IH S JH EH S T IY AH N Z
DENOMINATIONALIST	D IY N AA M AH N EY SH AH N AH L IH S T
HEEEEEEEEEEEEEEEEEEEEEEEEEEEEERE'S	HH IY IY IY IY IY IY IY IY IY IY IY IY IY IY AH R AH Z
KIMOSABE	K IH M AH S EY B
ENDMOST	EH N D M OW S T
ENTOMOPHOBIA	IH N T AA M AH F OW B IY AH
CHRYSOTHAMNUS	K R IH S AH TH AE M N AH S
NAUSEOSUS	N AH S IY AH Z AH S
CARTOON-TYPE	K AA R T UW N T AY P
BDBDBDBD	B IY D IY B IY D IY B IY D IY B IY D
DECILLIONTH	D AH S IH L IY AH N TH
DALI'S	D AA L IY Z
12-BUTTON	W AH N T UW B AH T AH N
LUNKHEADS	L AH NG K IY D Z
TUNE-UP	T UW N AH P
BRIGITTE'S	B R IH JH IH TS
WHITEWALLS	W AY T W AO L Z
ARTHROPODIUM	AA R TH R AH P OW D IY AH M
STRICTUM	S T R IH K T AH M
FRITILLARIA	F R IH T AH L AE R IY AH
BIFLORA	B AY F L OW R AH
COCOA-LIKE	K OW K OW L AY K
LORETTA'S	L ER EH T AH Z
BTWSIDE	B T W S AY D
BTW	B IY T IY W
DEALERMAN	D IY L ER M AE N
MDMA	M D M AA
METHYLENEDIOXY	M EH TH AH L AH N IY D IY AA K S IY
EULOGIST	Y UW L AH JH AH S T
CARNOTAURUS	K AA R N AH T EY Y AH R AH S
ENWOMANED	EH N W UH M AH N D
ADVANTAGEABLE	AH D V AE N T IH JH AH B AH L
ORATORICALNESS	AO R AH T AO R IH K AH L N AH S
DELPHIC-ORACLENESS	D EH L F IH K AO R AH K AH L N AH S
DEDUCEMENT	D IH D UW S M AH N T
2.5	T UW F AY V
EIGHTPENNY	EY T P EH N IY
BLOODTHIRSTINESS	B L AH D TH ER S T IY N AH S
UNDA	AH N D AA
BLUNDA	B L AH N D AH
APHIDOPHAGOUS	AH F IH D AH F EY JH AH S
70	S EH V AH N Z IY R OW
PRE-SHOT	P R IY SH AA T
*BUZZ	B AH Z
CLICK*	K L IH K
*(GARBLE)*	G AA R B AH L
*CLICK	K L IH K
BEEP!*	B AH EH P
CHOCOLATE-COATED	CH AO K L AH T K OW T AH D
D.A.'S	D IY EY S
MACPHERSONS	M AE K AH R S AH N Z
HORSE-THIEVIN	HH AO R S TH IY V AH N
LENGTH-OF-ROPE	L EH NG K TH AH V R OW P
AILUROPHILE'S	EY L UH R AH F AY L Z
AILUROPHOBES	EY L UH R AH F OW B Z
R-A-K-E	AA R EY K EY IY
CARBOLINEUM	K AA R B AH L IH N IY AH M
SUNDAY-BEST	S AH N D EY B EH S T
ZOR	Z AO R
3-BY-5	TH R IY B AY F AY V
MAKE-UP'S	M EY K AH P S
EARTHSHOCK	ER TH SH AA K
SUPERMAN-FIT	S UW P ER M AH N F IH T
EMPTY-BELLIED	EH M P T IY B EH L IY D
CONTROLLABILITY	K AH N T R OW L AH B IH L AH T EH
DRESSIN	D R EH S IH N
PANICKIN	P AE N IH K IH N
WHOREDOM	HH OW R D AH M
ARRR	AE R
MATIES	M EY T IY Z
CARPENTER/PLAYWRIGHT	K AA R P AH N T ER P L EY R AY T
HANDYMAN'S	HH AE N D IY M AE N Z
ONNA	AA N AH
TWO-YEAR-OLDS	T UW Y IH R OW L D Z
THREAT'S	TH R EH TS
AGFLATION	AE G F L EY SH AH N
CAUSERIE	K AO Z ER IY
ESTIMATE'S	EH S T AH M AH TS
EFFECTIVES	IH F EH K T IH V Z
WRONG-DOING	R AO NG D UW IH NG
COLLEENS	K AA L IY N Z
DROODLE	D R UW D AH L
RIDDLE/PART	R IH D AH L P AA R T
*POOF!*	P UW F
TLAS	T L AE Z
ACRONYMOPHILIA	AE K R AA N AH M AH F IH L Y AH
UDDER-LIKE	AH D AH R L AY K
COWY	K AW IY
RAMMY	R AE M IY
HEAD-BUTTING	HH EH D B AH T IH NG
ANTEATERY	AE N T IY T AH R IY
BACKPACKING'S	B AE K P AE K IH NG Z
MICTION	M IH K AH N
CHICTION	CH IH K AH N
STRAITJACKET'S	S T R EY T JH AE K AH TS
SEIZIN	S AY Z AH N
HAT-SNATCHING	HH AE T S N AE CH IH NG
CZOLGOSZ	K Z OW L G AH Z
KINDER'S	K AY N D ER Z
DORMIR	D AO R M AH R
SNOREMOUSE	S N OW R M AW S
SANGR	S AE N G R
QUARTER-INCH	K W AO R T ER IH N CH
ERODENT	IH R OW D AH N T
NEWSREADERS	N UW Z R IY D ER Z
EMPERORSHIP'S	EH M P ER ER SH IH P S
SZECHUAN	S Z AH CH UW W AH N
DUMMY'S	D AH M IY Z
EARINGS	IH ER IH NG Z
FORCE-WIELDING	F AO R S W IY L D IH NG
CYCLOMETRY	S IH K L AH M EH T R IY
BAGGERS	B AE G ER Z
EYE-LIKE	AY L AY K
CGF	S IY JH IY F
CHILDPROOFING	CH AY L D P R UW F IH NG
TWO-YEAR-OLD'S	T UW Y IH R OW L D Z
DISGUISEDLY	D IH S G AY Z AH D L IY
ENDOGAMOUS	EH N D AA G AH M AH S
LIBBIN	L IH B AH N
XXXXL	EH K S EH K S EH K S EH K S L
THREE-BEDROOM	TH R IY B EH D R UW M
ENDWISE	EH N D W AY Z
BRIGHTSIZING	B R AY T S AY Z IH NG
STAND-IN	S T AE N D IH N
COMMANDER-IN-BEEF	K AH M AE N D ER IH N B IY F
CATERER/STRIPPER	K EY T ER ER S T R IH P ER
DOOZIE	D UW Z AY
BUBBLEGRAM	B AH B AH L G R AE M
EX-DAUGHTER	EH K S D AO T ER
50-ROUND	F AY V Z IY R OW R AW N D
ONE-TO-TEN	W AH N T UW T EH N
ELOI	EH L OY
MORLOCKS	M AO R L AH K S
BAMBI-LIKE	B AE M B IY L AY K
ENCHAINMENT	EH N CH EY N M AH N T
JOHN-PAUL	JH AA N P AO L
SIX-THREE	S IH K S TH R IY
NER-NER	N EH R N EH R
ECOPHOBIA'S	EH K AH F OW B IY AH Z
BUNJEE	B AH N JH IY IY
GONE'S	G AO N Z
GREAT-GREAT-GRANDPA	G R EY T G R EY T G R AE N D P AA
J.P	JH EY P
SPYDER	S P AY D AH R
CTOS	K T AA Z
OUTTASIGHT	AW T AH S AY T
UNFIXABLE	AH N F IH K S AH B AH L
SCRATCH-OFFS	S K R AE CH AO F S
TU-TU	T UW T UW
20-DAY	T UW Z IY R OW D EY
HANDSOMEST	HH AE N S AH M AH S T
LOHAN	L AA AH N
ABSTAINS	AH B S T EY N Z
EXPATIATION'S	EH K S P EY SH EY SH AH N Z
UNWINDS	AH N W IH N D Z
EVENFALL	IY V AH N F AO L
CHROMETOPHOBIA'S	K R AA M AH T AH F OW B IY AH Z
ONCE-A-MONTH	W AH N S EY M AH N TH
B-CUPS	B IY K AH P S
SPACE-THING	S P EY S TH IH NG
DENUTRITION	D IY N UH T R IH SH AH N
CEREBROLOGY	S EH R AH B R AA L AH JH IY
APHRODISIA	AE F R AH D IH ZH IY AH
ANISOMASTIA'S	AE N AH S AH M AE S T IY AH Z
APPLE-SIZED	AE P AH L S AY Z D
ANAPHRODESIAC	AH N AE F R AH D IY S IY AH K
BLAMABLY	B L EY M AH B L IY
11.8	W AH N W AH N EY T
BIMILLENNIALLY	B AY M IH L AH N IY AH L IY
INCIDENT-IALLY	IH N S AH D AH N T AY AE L IY
EOD	IY AH D
ARCHERY-LOVING	AA R CH ER IY L AH V IH NG
DEMIDEVIL	D IY M IH D IY V AH L
SEMI-DEVIL	S EH M IY D EH V AH L
DEPHLEGMEDNESS	D IH F L EH G M EH D N AH S
BABYHOUSE	B EY B IY HH AW S
DOMINICIDE	D AH M IH N AH S AY D
BABOO	B AE B UW
WEDGELESS	W EH JH L AH S
SLEDGELESS	S L EH D JH EH L AH S
ECTOPIA	EH K T OW P IY AH
CARNIVORE'S	K AA R N IH V AO R Z
DILUCIDATE	D AH L UW S AH D EY T
GOT-TO-REMEMBER-DAY	G AA T T UW R IH M EH M B ER D EY
CAMAURO	K AE M AH R OW
DISHERITANCE	D IH S EH R AH T AH N S
*SNICKER*	S N IH K ER
*GIGGLE*	G IH G AH L
DIMPLEMENT	D IH M P L M AH N T
VERBING	V ER B IH NG
ANTIPOPE	AE N T AY P OW P
FILING'S	F AY L IH NG Z
ANNALS-RETENTIVE	AE N AH L Z R IH T EH N T IH V
AUTO-PILOT'S	AO T OW P AY L AH T S
DASYPYGAL	D AH S IH P AH G AH L
SATAN-HATER	S EY T AH N HH EY T ER
RE-ELECT	R EY IH L EH K T
ERECTO-PATENT	AH R EH K T OW P AE T AH N T
EXTRA-BASE	EH K S T R AH B EY S
PERVERSENESS	P ER V ER S N AH S
BWAH-HA-HA-HA	B W AA HH AA HH AA HH AA
ELASTICIZE	IH L AE S T IH K AY Z
ENAUNTER'S	EH N AE N T ER Z
815	EY T W AH N F AY V
BEDENIMED	B IH D AH N AY M D
ERGOTROPISM'S	AH R G AA T R AH P AH Z M Z
ECTROMELIA	EH K T R AH M IY L Y AH
BUMFREEZER	B AH M F R IY Z ER
ANIMATEUR	AE N AH M EY T AH R
ADIEUX	EY D Y UW K S
LAMONDE	L AE M AH N D
DEMAND'S	D IH M AE N D Z
GOSH-DARN	G AA SH D AA R N
59TH	F AY V N AY N T IY EY CH
TROTTING'S	T R AA T IH NG Z
BIBLIOTAPH	B AY B L AY AH T AH F
ENOPTOMANCY	AH N AA P T AH M AE N S IY
KER-SMASH	K ER S M AE SH
EIGHT-YEAR-OLD'S	EY T Y IH R OW L D Z
MUDVILLE	M AH D AH L
CONFUSABLES	K AH N F Y UW Z AH B AH L Z
DEPULSION'S	D IY P AH L S IY AH N Z
NINE-LETTER	N AY N L EH T ER
MENUDO'S	M AH N Y UW D OW Z
EXTRADOS	EH K S T R AH D UW Z
SPORTSMANLIKE	S P OW R T S M AE N L AY K
CRICKETY	K R IH K AH T IY
NEWCOMER'S	N UW K AH M ER Z
VOOOM	V UW AH M
ELUCUBRATION'S	AH L UW K AH B R EY T IY AH N Z
BEARBERRY'S	B AE ER B EH R IY Z
MOM-AND-POPS	M AA M AH N D P AA P S
BOUTIQUEY	B AW T IH K W IY
BEACHWARE	B IY CH W EH R
EACHWHERE	IY CH W HH AH R
SPIDERY	S P AY D ER IY
RISK-TAKING	R IH S K T EY K IH NG
TV-BASED	T IY V IY B EY S T
CALLINECTES	K AE L AH N AH K T S
GLOOMINESS	G L UW M IY N AH S
AFFABLENESS	AE F AH B AH L N AH S
EDERLE	EH D AH R L
ODENITIS	AA D AH N AY T AH S
GRIEVIN	G R IY V AH N
EXTREMOPHILES	IH K S T R EH M AH F AY L Z
BIANTHERIFEROUS	B AY AE N TH AH R IH F AH R AH S
OVER-TRUSTING	OW V ER T R AH S T IH NG
NON-YANKS	N AA N Y AE NG K S
SELF-DESTRUCTIVE	S EH L F D IH S T R AH K T IH V
ONE-TERM	W AH N T ER M
NOT-AS-GOOD	N AA T AE Z G UH D
TA-POCKETA-POCKETA-POCKETA	T AA P AA K AH T AH P AA K AH T AH P AA K AH T AH
POPPO	P AA P OW
1048	W AH N Z IY R OW F OW R EY T
POPE-O	P OW P OW
AMPHOPEPTONE	AE M F AA P AH P T OW N
BABY-MINDER	B EY B IY M AY N D ER
GLASS-FRONTED	G L AE S F R AH N T IH D
CSA'S	K S AE Z
FAST-TALKED	F AE S T T AO K T
UA	Y UW AH
AGROSTOGRAPHERS	AE G R AH S T AA G R AH F AH R Z
DEAR-O	D IH R OW
BOGGLE-EYED	B AA G AH L AY D
FREE-VERSE	F R IY V ER S
ANAPESTATION	AH N AE P AH S T EY SH AH N
MAPLE-Y	M EY P AH L W AY
BURLEYCUE	B ER L IY K Y UW
SOILING	S OY L IH NG
BONER'S	B OW N ER Z
TWO-LEGGED	T UW L EH G AH D
EGGBERT	EH G AH R T
HI-JINX	HH AY JH IH NG K S
AKWAS	AE K W AH Z
BHAARKAAH	B HH AA R K AH
ETAOIN	EH T EY OY N
SHRDLU	SH R D L UW
PROOFREADER	P R UW F R IY D ER
DOZENALIST	D AH Z AH N AH L IH S T
BASE-12	B EY S W AH N T UW
SMILIN	S M IH L AH N
BELLTOPPER'S	B EH L T AA P ER Z
SWALLOWER	S W AA L OW ER
CARRADINE	K AE R AH D AY N
UNHYGIENIC	AH N HH AY JH IY N IH K
BATHLESS	B AE TH L AH S
GROGGINS	G R AA G JH IH N Z
STEAM'S	S T IY M Z
DONDI	D AA N D IY
EXFETATION'S	EH K S F EY T EY SH AH N Z
EYESTRINGS	AY S T R IH NG Z
ACCIDENT-RIDDEN	AE K S AH D AH N T R IH D AH N
2080	T UW Z IY R OW EY T Z IY R OW
230	T UW TH R IY Z IY R OW
ELENCHIZE	EH L AH N CH AY Z
TIC-TAC-TOE	T IH K T AE K T OW
MADHESI	M AE D HH AH S IY
FACE-UP	F EY S AH P
DARKY	D AA R K IY
600TH	S IH K S Z IY R OW Z IY R OW T IY EY CH
3-G	TH R IY JH IY
ANDERTOONS	AE N D AH R T UW N Z
ROCKIT	R AA K AH T
BIZARRO'S	B AY Z AE R AH Z
BROOM-HILDA	B R UW M HH IH L D AH
GRITTIER	G R IH T IY ER
WITTIER	W IH T IY ER
LOCKHORNS	L AA K HH AO R N Z
DERF'S	D AH R F S
BUNI	B Y UW N IY
CIGAR-SMOKING	S IH G AA R S M OW K IH NG
MAN-HUNGRY	M AE N HH AH NG G R IY
DENNISES	D EH N IY Z IH Z
ERYTHROPHOBIA	AH R IH TH R AH F OW B IY AH
JIGGS	JH IH G Z
FASHIONIST	F AE SH AH N IH S T
SVERKERSSON'S	S V AH R K AH R S AH N Z
NARROW-MOUTHED	N EH R OW M AW DH D
DOWNSTOWN	D AW N Z T AW N
EXTIRP	IH K S T AH R P
GOO-GOO-GOOGLY	G UW G UW G OW OW G AH L IY
Y'SEE	Y S IY IY
CAWFUL	K AO F AH L
WORK-AT-HOME	W ER K AE T HH OW M
CHIX	CH IH K S
BEARDO	B AE ER D UW
EASELS	IY Z AH L Z
SHAGG	SH AE G
ARLO	AA R L OW
WATUSI	W AA T Y AH S IY
COTTON-EYED	K AA T AH N AY D
BILLYWIX	B AY L IH W AH K S
HONEST-TO-GOD	AA N AH S T T UW G AA D
IKO	IH K OW
EVICTEE	IH V IH K T IY
MESSERSCHMITTS	M EH S AH R S M AH T S
EXTERNALIZE	EH K S T ER N AH L AY Z
EMPLEOMANIA	IH M P L IY AH M EY N Y AH
MEEEEEEE	M IY IY IY IY IY
10-SPLITNESS	W AH N Z IY R OW S P L IH T N AH S
DEMENTATE	D IY M EH N T AH T
DWF	D IY D AH B AH L Y UW F
FAMBLES	F AE M B AH L Z
BUH-BOOK	B UW B UH K
DUH-DUH-DUH-DUH-DAYS	D AH D AH D AH D AH D EY Z
ELABORATENESS	IH L AE B AH R AH T N AH S
F*I*R*S*T	F AY R S T
P*R*I*Z*E	P R AY Z
EUPRAXIA'S	Y UW P R AE K S IY AH Z
N.Y.C	EH N W AY K
BONYTAIL	B OW N IY T EY L
LALANNE	L AE L AH N
WALLET-SIZED	W AO L AH T S AY Z D
ABIGAIL'S	AE B AH G EY L Z
SQUEAKY-CLEAN	S K W IY K IY K L IY N
FRONT-PAGED	F R AH N T P EY JH D
GERES	JH IY R Z
BAR-BARRACK	B AA R B AE R AH K
BUNJI-BUNJI'S	B AH N JH IY B AH N JH AH Z
IRRITATION'S	IH R IH T EY SH AH N Z
TREE-HUGGER	T R IY HH AH G ER
SUPER-CURLY	S UW P ER K ER L IY
HAMPA	HH AE M P AH
CORNDOG	K AO R N D AO G
AGRITAINMENT	AH G R IH T AH IH N M AH N T
EVANISHMENT	EH V AH N IH SH M AH N T
WELL-ADJUSTED	W EH L AH JH AH S T IH D
EUNOMY	Y UW N AH M IY
SHORELINES	SH OW R L AY N Z
THREE-ON-ONE	TH R IY AA N W AH N
DACRYGELOSIS	D AE K R AH JH AH L OW S AH S
LEMON-COLORED	L EH M AH N K AH L ER D
CORN-COLORED	K AO R N K AH L ER D
BLOOD-COLORED	B L AH D K AH L ER D
CARROT-COLORED	K AE R AH T K AH L ER D
TINTER	T IH N T ER
THAT,*	DH AE T
EFFIERCE	EH F IY R S
ENFIERCE	EH N F IH ER S
ACTING'S	AE K T IH NG Z
EXTERNAL'S	IH K S T ER N AH L Z
WEARIER	W IH R IY ER
ANKYLODACTYLY	AE NG K AH L AH D AE K T AH L IY
WEB-FINGERED	W EH B F IH NG G ER D
SYNDACTYLY	S IH N D AE K T AH L IY
MILE-AND-A-HALF	M AY L AH N D EY HH AE F
FAWN-COLORED	F AO N K AH L ER D
ENGINOUS	EH N JH AH N AH S
ENGINE-LIKE	EH N JH AH N L AY K
ENRAVISHES	EH N R EY V IH SH IH Z
ENORTHOTROPE	AH N AO R TH AH T R OW P
THAUMATROPE	TH AO M AH T R OW P
CENTERFIELD	S EH N T ER F IY L D
KEYHOLE'S	K IY HH OW L Z
